Time (s)	Pulse Interval (ms)
13965.325	725
13966.05	720
13966.77	720
13967.49	725
13968.215	740
13968.955	730
13969.685	740
13970.425	730
13971.155	710
13971.865	730
13972.595	715
13973.31	740
13974.051	725
13974.776	725
13975.501	730
13976.229	720
13976.951	730
13977.681	725
13978.408	730
13979.138	735
13979.869	720
13980.591	705
13981.295	730
13982.025	715
13982.74	755
13983.494	720
13984.216	735
13984.951	720
13985.669	725
13986.396	720
13987.118	740
13987.856	720
13988.578	735
13989.309	735
13990.044	700
13990.745	740
13991.485	740
13992.225	745
13992.97	735
13993.705	735
13994.44	760
13995.199	740
13995.937	740
13996.681	735
13997.416	735
13998.151	745
13998.896	740
13999.638	740
14000.376	740
14001.116	745
14001.859	715
14002.575	745
14003.32	735
14004.055	1060
14005.118	445
14005.563	715
14006.275	735
14007.01	745
14007.755	730
14008.485	745
14009.229	750
14009.979	715
14010.698	745
14011.441	715
14012.155	720
14012.875	760
14013.636	690
14014.328	775
14015.101	715
14015.816	715
14016.53	745
14017.275	735
14018.01	720
14018.73	755
14019.484	710
14020.196	745
14020.941	710
14021.653	745
14022.396	720
14023.116	745
14023.859	715
14024.574	745
14025.319	710
14026.029	720
14026.75	730
14027.48	720
14028.2	745
14028.946	730
14029.676	740
14030.414	710
14031.126	745
14031.873	720
14032.589	735
14033.324	725
14034.049	735
14034.786	715
14035.501	710
14036.21	735
14036.945	720
14037.665	755
14038.419	735
14039.154	720
14039.878	740
14040.615	715
14041.331	745
14042.076	730
14042.806	735
14043.539	745
14044.282	710
14044.998	730
14045.725	740
14046.465	745
14047.21	720
14047.93	755
14048.688	745
14049.427	720
14050.151	750
14050.903	710
14051.611	755
14052.364	740
14053.108	740
14053.846	730
14054.576	750
14055.328	720
14056.045	750
14056.795	735
14057.53	770
14058.299	725
14059.028	750
14059.774	750
14060.526	745
14061.269	725
14061.998	760
14062.752	745
14063.499	740
14064.239	735
14064.974	725
14065.7	740
14066.44	740
14067.18	760
14067.943	735
14068.678	740
14069.414	740
14070.154	740
14070.894	735
14071.633	745
14072.378	735
14073.111	745
14073.854	745
14074.599	710
14075.31	730
14076.04	765
14076.808	730
14077.534	740
14078.276	735
14079.009	735
14079.744	735
14080.479	730
14081.209	735
14081.946	735
14082.679	735
14083.414	740
14084.154	730
14084.884	730
14085.612	735
14086.351	735
14087.088	730
14087.818	760
14088.576	740
14089.314	725
14090.041	735
14090.776	725
14091.5	740
14092.24	735
14092.975	755
14093.731	760
14094.491	740
14095.227	750
14095.981	740
14096.721	755
14097.472	725
14098.199	755
14098.956	750
14099.706	725
14100.431	755
14101.182	745
14101.931	735
14102.668	735
14103.403	755
14104.156	725
14104.883	740
14105.619	750
14106.371	750
14107.121	740
14107.863	730
14108.591	735
14109.324	745
14110.073	750
14110.819	735
14111.556	725
14112.281	750
14113.033	755
14113.784	740
14114.526	730
14115.258	725
14115.98	745
14116.725	750
14117.475	730
14118.205	780
14118.986	680
14119.668	790
14120.458	760
14121.214	715
14121.931	755
14122.686	735
14123.423	740
14124.159	745
14124.904	710
14125.616	725
14126.34	740
14127.08	730
14127.81	770
14128.579	720
14129.301	745
14130.044	740
14130.788	730
14131.512	750
14132.264	725
14132.989	735
14133.726	750
14134.474	710
14135.188	745
14135.933	745
14136.676	715
14137.389	750
14138.141	715
14138.858	755
14139.611	720
14140.331	750
14141.079	730
14141.811	745
14142.554	705
14143.26	740
14144.0	730
14144.73	765
14145.494	730
14146.224	745
14146.969	715
14147.686	755
14148.441	715
14149.156	750
14149.906	745
14150.649	715
14151.368	755
14152.121	730
14152.849	735
14153.586	750
14154.334	735
14155.071	740
14155.809	735
14156.548	745
14157.289	745
14158.036	730
14158.766	755
14159.521	725
14160.244	755
14160.999	730
14161.731	725
14162.456	760
14163.214	725
14163.939	740
14164.681	735
14165.416	730
14166.146	750
14166.894	705
14167.6	740
14168.34	730
14169.07	760
14169.829	730
14170.563	730
14171.289	745
14172.034	725
14172.759	715
14173.476	750
14174.228	725
14174.951	725
14175.676	750
14176.424	725
14177.149	720
14177.871	745
14178.618	740
14179.354	725
14180.081	730
14180.809	730
14181.541	740
14182.281	745
14183.024	730
14183.756	740
14184.494	730
14185.226	735
14185.957	740
14186.701	745
14187.444	730
14188.178	730
14188.908	740
14189.646	750
14190.396	730
14191.126	745
14191.871	745
14192.614	725
14193.339	755
14194.096	735
14194.831	750
14195.583	730
14196.311	755
14197.064	730
14197.794	755
14198.551	715
14199.265	750
14200.015	735
14200.75	775
14201.524	735
14202.261	740
14202.999	745
14203.744	725
14204.473	760
14205.227	730
14205.959	740
14206.701	745
14207.444	715
14208.161	760
14208.919	735
14209.654	725
14210.379	730
14211.109	740
14211.851	735
14212.586	725
14213.311	720
14214.029	730
14214.761	725
14215.488	725
14216.211	715
14216.928	725
14217.651	725
14218.376	715
14219.091	725
14219.812	715
14220.533	725
14221.254	720
14221.976	725
14222.699	720
14223.421	725
14224.146	725
14224.869	720
14225.591	725
14226.316	725
14227.041	720
14227.761	715
14228.474	730
14229.204	720
14229.926	710
14230.636	725
14231.359	730
14232.087	725
14232.816	725
14233.539	700
14234.241	730
14234.971	725
14235.698	720
14236.416	700
14237.118	700
14237.815	720
14238.535	740
14239.278	725
14239.999	695
14240.696	740
14241.432	715
14242.151	700
14242.851	725
14243.574	715
14244.293	700
14244.991	730
14245.723	695
14246.418	740
14247.154	700
